court_code,court_name,year,source_documents,held_documents,remaining_documents,coverage
1_12,"High Court of Jammu and Kashmir",1950,1,1,0,1.000000
1_12,"High Court of Jammu and Kashmir",1951,1,1,0,1.000000
1_12,"High Court of Jammu and Kashmir",1999,1,0,1,0.000000
1_12,"High Court of Jammu and Kashmir",2000,1,0,1,0.000000
1_12,"High Court of Jammu and Kashmir",2002,5,0,5,0.000000
1_12,"High Court of Jammu and Kashmir",2003,4,0,4,0.000000
1_12,"High Court of Jammu and Kashmir",2004,5,0,5,0.000000
1_12,"High Court of Jammu and Kashmir",2005,44,0,44,0.000000
1_12,"High Court of Jammu and Kashmir",2006,11,0,11,0.000000
1_12,"High Court of Jammu and Kashmir",2007,46,0,46,0.000000
1_12,"High Court of Jammu and Kashmir",2008,95,0,95,0.000000
1_12,"High Court of Jammu and Kashmir",2009,117,0,117,0.000000
1_12,"High Court of Jammu and Kashmir",2010,143,0,143,0.000000
1_12,"High Court of Jammu and Kashmir",2011,132,0,132,0.000000
1_12,"High Court of Jammu and Kashmir",2012,236,0,236,0.000000
1_12,"High Court of Jammu and Kashmir",2013,232,0,232,0.000000
1_12,"High Court of Jammu and Kashmir",2014,203,0,203,0.000000
1_12,"High Court of Jammu and Kashmir",2015,277,0,277,0.000000
1_12,"High Court of Jammu and Kashmir",2016,341,333,8,0.976540
1_12,"High Court of Jammu and Kashmir",2017,3029,3029,0,1.000000
1_12,"High Court of Jammu and Kashmir",2018,2804,2804,0,1.000000
1_12,"High Court of Jammu and Kashmir",2019,8098,8097,1,0.999877
1_12,"High Court of Jammu and Kashmir",2020,18809,18809,0,1.000000
1_12,"High Court of Jammu and Kashmir",2021,21153,21152,1,0.999953
1_12,"High Court of Jammu and Kashmir",2022,14442,14442,0,1.000000
1_12,"High Court of Jammu and Kashmir",2023,12700,12700,0,1.000000
1_12,"High Court of Jammu and Kashmir",2024,10960,10958,2,0.999818
1_12,"High Court of Jammu and Kashmir",2025,13532,13531,1,0.999926
1_12,"High Court of Jammu and Kashmir",2026,6178,6177,1,0.999838
10_8,"Patna High Court",1967,1,1,0,1.000000
10_8,"Patna High Court",1972,1,1,0,1.000000
10_8,"Patna High Court",1975,1,1,0,1.000000
10_8,"Patna High Court",1977,1,1,0,1.000000
10_8,"Patna High Court",1978,3,3,0,1.000000
10_8,"Patna High Court",1979,3,3,0,1.000000
10_8,"Patna High Court",1980,3,3,0,1.000000
10_8,"Patna High Court",1982,3,3,0,1.000000
10_8,"Patna High Court",1983,3,3,0,1.000000
10_8,"Patna High Court",1984,2,2,0,1.000000
10_8,"Patna High Court",1985,2,2,0,1.000000
10_8,"Patna High Court",1986,3,3,0,1.000000
10_8,"Patna High Court",1987,6,6,0,1.000000
10_8,"Patna High Court",1988,5,5,0,1.000000
10_8,"Patna High Court",1989,8,8,0,1.000000
10_8,"Patna High Court",1990,14,14,0,1.000000
10_8,"Patna High Court",1991,14,14,0,1.000000
10_8,"Patna High Court",1992,19,19,0,1.000000
10_8,"Patna High Court",1993,29,29,0,1.000000
10_8,"Patna High Court",1994,17,17,0,1.000000
10_8,"Patna High Court",1995,11,11,0,1.000000
10_8,"Patna High Court",1996,19,0,19,0.000000
10_8,"Patna High Court",1997,24,0,24,0.000000
10_8,"Patna High Court",1998,23,0,23,0.000000
10_8,"Patna High Court",1999,24,0,24,0.000000
10_8,"Patna High Court",2000,50,0,50,0.000000
10_8,"Patna High Court",2001,30,0,30,0.000000
10_8,"Patna High Court",2002,50,0,50,0.000000
10_8,"Patna High Court",2003,48,0,48,0.000000
10_8,"Patna High Court",2004,59,0,59,0.000000
10_8,"Patna High Court",2005,117,0,117,0.000000
10_8,"Patna High Court",2006,186,0,186,0.000000
10_8,"Patna High Court",2007,573,0,573,0.000000
10_8,"Patna High Court",2008,44859,0,44859,0.000000
10_8,"Patna High Court",2009,71211,0,71211,0.000000
10_8,"Patna High Court",2010,81983,0,81983,0.000000
10_8,"Patna High Court",2011,91446,0,91446,0.000000
10_8,"Patna High Court",2012,89309,0,89309,0.000000
10_8,"Patna High Court",2013,80251,6496,73755,0.080946
10_8,"Patna High Court",2014,79395,79366,29,0.999635
10_8,"Patna High Court",2015,98159,98159,0,1.000000
10_8,"Patna High Court",2016,86417,0,86417,0.000000
10_8,"Patna High Court",2017,95440,0,95440,0.000000
10_8,"Patna High Court",2018,115394,0,115394,0.000000
10_8,"Patna High Court",2019,115597,0,115597,0.000000
10_8,"Patna High Court",2020,50956,0,50956,0.000000
10_8,"Patna High Court",2021,58150,44764,13386,0.769802
10_8,"Patna High Court",2022,117116,41768,75348,0.356638
10_8,"Patna High Court",2023,135913,135886,27,0.999801
10_8,"Patna High Court",2024,123106,8400,114706,0.068234
10_8,"Patna High Court",2025,112625,112613,12,0.999893
10_8,"Patna High Court",2026,58193,58185,8,0.999863
11_24,"High Court of Sikkim",2000,8,8,0,1.000000
11_24,"High Court of Sikkim",2001,5,5,0,1.000000
11_24,"High Court of Sikkim",2002,9,9,0,1.000000
11_24,"High Court of Sikkim",2003,59,59,0,1.000000
11_24,"High Court of Sikkim",2004,78,77,1,0.987179
11_24,"High Court of Sikkim",2005,63,63,0,1.000000
11_24,"High Court of Sikkim",2006,55,55,0,1.000000
11_24,"High Court of Sikkim",2007,50,50,0,1.000000
11_24,"High Court of Sikkim",2008,56,56,0,1.000000
11_24,"High Court of Sikkim",2009,64,64,0,1.000000
11_24,"High Court of Sikkim",2010,65,62,3,0.953846
11_24,"High Court of Sikkim",2011,43,35,8,0.813953
11_24,"High Court of Sikkim",2012,38,38,0,1.000000
11_24,"High Court of Sikkim",2013,36,36,0,1.000000
11_24,"High Court of Sikkim",2014,117,117,0,1.000000
11_24,"High Court of Sikkim",2015,66,66,0,1.000000
