priority,representation,scale_rows,m,ef_construction,ef_search,heuristic_combined_bytes,heuristic_combined_human,measured_comparable_build_seconds,measured_comparable_p50_ms,measured_comparable_p95_ms
0,fp32,100000,16,64,40,1377858000,1.28 GiB,55.901,1.032,1.35
0,fp32,300000,16,64,40,4133574000,3.85 GiB,54.642,8.866,13.832
0,fp32,600000,16,64,40,8267148000,7.70 GiB,403.253,6.617,11.2
0,halfvec,100000,16,64,40,557125000,531.32 MiB,46.102,0.89,1.435
0,halfvec,300000,16,64,40,1671375000,1.56 GiB,36.222,8.012,12.502
0,halfvec,600000,16,64,40,3342750000,3.11 GiB,80.3,5.754,9.804
1,fp32,100000,16,64,80,1377858000,1.28 GiB,55.901,,
1,fp32,100000,16,64,160,1377858000,1.28 GiB,55.901,,
1,fp32,300000,16,64,80,4133574000,3.85 GiB,54.642,,
1,fp32,300000,16,64,160,4133574000,3.85 GiB,54.642,,
1,fp32,600000,16,64,80,8267148000,7.70 GiB,403.253,,
1,fp32,600000,16,64,160,8267148000,7.70 GiB,403.253,,
1,halfvec,100000,16,64,80,557125000,531.32 MiB,46.102,,
1,halfvec,100000,16,64,160,557125000,531.32 MiB,46.102,,
1,halfvec,300000,16,64,80,1671375000,1.56 GiB,36.222,,
1,halfvec,300000,16,64,160,1671375000,1.56 GiB,36.222,,
1,halfvec,600000,16,64,80,3342750000,3.11 GiB,80.3,,
1,halfvec,600000,16,64,160,3342750000,3.11 GiB,80.3,,
2,fp32,100000,8,64,80,968876500,923.99 MiB,,,
2,fp32,100000,8,64,160,968876500,923.99 MiB,,,
2,fp32,300000,8,64,80,2906629500,2.71 GiB,,,
2,fp32,300000,8,64,160,2906629500,2.71 GiB,,,
2,fp32,600000,8,64,80,5813259000,5.41 GiB,,,
2,fp32,600000,8,64,160,5813259000,5.41 GiB,,,
2,halfvec,100000,8,64,80,420796000,401.30 MiB,,,
2,halfvec,100000,8,64,160,420796000,401.30 MiB,,,
2,halfvec,300000,8,64,80,1262388000,1.18 GiB,,,
2,halfvec,300000,8,64,160,1262388000,1.18 GiB,,,
2,halfvec,600000,8,64,80,2524776000,2.35 GiB,,,
2,halfvec,600000,8,64,160,2524776000,2.35 GiB,,,
3,fp32,100000,24,128,80,1786839500,1.66 GiB,,,
3,fp32,100000,24,128,160,1786839500,1.66 GiB,,,
3,fp32,100000,24,128,320,1786839500,1.66 GiB,,,
3,fp32,300000,24,128,80,5360518500,4.99 GiB,,,
3,fp32,300000,24,128,160,5360518500,4.99 GiB,,,
3,fp32,300000,24,128,320,5360518500,4.99 GiB,,,
3,fp32,600000,24,128,80,10721037000,9.98 GiB,,,
3,fp32,600000,24,128,160,10721037000,9.98 GiB,,,
3,fp32,600000,24,128,320,10721037000,9.98 GiB,,,
3,halfvec,100000,24,128,80,693454000,661.33 MiB,,,
3,halfvec,100000,24,128,160,693454000,661.33 MiB,,,
3,halfvec,100000,24,128,320,693454000,661.33 MiB,,,
3,halfvec,300000,24,128,80,2080362000,1.94 GiB,,,
3,halfvec,300000,24,128,160,2080362000,1.94 GiB,,,
3,halfvec,300000,24,128,320,2080362000,1.94 GiB,,,
3,halfvec,600000,24,128,80,4160724000,3.87 GiB,,,
3,halfvec,600000,24,128,160,4160724000,3.87 GiB,,,
3,halfvec,600000,24,128,320,4160724000,3.87 GiB,,,
4,fp32,100000,8,32,20,968876500,923.99 MiB,,,
4,fp32,100000,8,32,40,968876500,923.99 MiB,,,
4,fp32,100000,8,32,80,968876500,923.99 MiB,,,
4,fp32,100000,8,32,160,968876500,923.99 MiB,,,
4,fp32,100000,8,64,20,968876500,923.99 MiB,,,
4,fp32,100000,8,64,40,968876500,923.99 MiB,,,
4,fp32,100000,8,128,20,968876500,923.99 MiB,,,
4,fp32,100000,8,128,40,968876500,923.99 MiB,,,
4,fp32,100000,8,128,80,968876500,923.99 MiB,,,
4,fp32,100000,8,128,160,968876500,923.99 MiB,,,
4,fp32,100000,16,32,20,1377858000,1.28 GiB,,,
4,fp32,100000,16,32,40,1377858000,1.28 GiB,,,
4,fp32,100000,16,32,80,1377858000,1.28 GiB,,,
4,fp32,100000,16,32,160,1377858000,1.28 GiB,,,
4,fp32,100000,16,64,20,1377858000,1.28 GiB,55.901,,
4,fp32,100000,16,128,20,1377858000,1.28 GiB,,,
4,fp32,100000,16,128,40,1377858000,1.28 GiB,,,
4,fp32,100000,16,128,80,1377858000,1.28 GiB,,,
4,fp32,100000,16,128,160,1377858000,1.28 GiB,,,
4,fp32,100000,24,32,20,1786839500,1.66 GiB,,,
4,fp32,100000,24,32,40,1786839500,1.66 GiB,,,
4,fp32,100000,24,32,80,1786839500,1.66 GiB,,,
4,fp32,100000,24,32,160,1786839500,1.66 GiB,,,
4,fp32,100000,24,64,20,1786839500,1.66 GiB,,,
4,fp32,100000,24,64,40,1786839500,1.66 GiB,,,
4,fp32,100000,24,64,80,1786839500,1.66 GiB,,,
4,fp32,100000,24,64,160,1786839500,1.66 GiB,,,
4,fp32,100000,24,128,20,1786839500,1.66 GiB,,,
4,fp32,100000,24,128,40,1786839500,1.66 GiB,,,
4,halfvec,100000,8,32,20,420796000,401.30 MiB,,,
4,halfvec,100000,8,32,40,420796000,401.30 MiB,,,
4,halfvec,100000,8,32,80,420796000,401.30 MiB,,,
4,halfvec,100000,8,32,160,420796000,401.30 MiB,,,
4,halfvec,100000,8,64,20,420796000,401.30 MiB,,,
4,halfvec,100000,8,64,40,420796000,401.30 MiB,,,
4,halfvec,100000,8,128,20,420796000,401.30 MiB,,,
4,halfvec,100000,8,128,40,420796000,401.30 MiB,,,
4,halfvec,100000,8,128,80,420796000,401.30 MiB,,,
4,halfvec,100000,8,128,160,420796000,401.30 MiB,,,
4,halfvec,100000,16,32,20,557125000,531.32 MiB,,,
4,halfvec,100000,16,32,40,557125000,531.32 MiB,,,
4,halfvec,100000,16,32,80,557125000,531.32 MiB,,,
4,halfvec,100000,16,32,160,557125000,531.32 MiB,,,
4,halfvec,100000,16,64,20,557125000,531.32 MiB,46.102,,
4,halfvec,100000,16,128,20,557125000,531.32 MiB,,,
4,halfvec,100000,16,128,40,557125000,531.32 MiB,,,
4,halfvec,100000,16,128,80,557125000,531.32 MiB,,,
